,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
27,Máy tính bảng pro 11 2025 Cấu hình đỉnh cao Android 12 RAM 16GB 1TB pin trâu 12000mAh sạc nhanh màn hình 12 inch 3 camera 48MP chuyên nghiệp ưu đãi đặc biệt hỗ trợ 5G 2 SIM đa nhiệm game công việc,1051000,1800000,Vietnam,Bear appliances store,No Brand,4,,https://www.lazada.vn/products/may-tinh-bang-pro-11-2025-cau-hinh-dinh-cao-android-12-ram-16gb-1tb-pin-trau-12000mah-sac-nhanh-man-hinh-12-inch-3-camera-48mp-chuyen-nghiep-uu-dai-dac-biet-ho-tro-5g-2-sim-da-nhiem-game-cong-viec-i3019638114.html,['Voucher save 42%'],"[4402, 4519]"
28,Máy tính bảng pro11 2025 Thiết kế mới màn hình 12 inch 2K5 RAM 16GB 1TB bộ nhớ pin 12000mAh 3 camera 48MP 24MP hỗ trợ 5G 2 SIM ưu đãi cực sốc đa nhiệm mượt game học tập làm việc,1052000,1800000,Vietnam,Bear appliances store,No Brand,4,,https://www.lazada.vn/products/may-tinh-bang-pro11-2025-thiet-ke-moi-man-hinh-12-inch-2k5-ram-16gb-1tb-bo-nho-pin-12000mah-3-camera-48mp-24mp-ho-tro-5g-2-sim-uu-dai-cuc-soc-da-nhiem-muot-game-hoc-tap-lam-viec-i3019602073.html,['Voucher save 42%'],"[4402, 4519]"
29,Máy tính bảng pro11 2025 Thiết kế siêu mỏng màn hình 12 inch Full HD RAM 16GB 1TB pin 12000maha dùng 2 ngày 3 camera 48MP xóa phông 5G 2 SIM giá tốt nhất hoàn hảo học online làm việc,1050000,1800000,Vietnam,Bear appliances store,No Brand,4,,https://www.lazada.vn/products/may-tinh-bang-pro11-2025-thiet-ke-sieu-mong-man-hinh-12-inch-full-hd-ram-16gb-1tb-pin-12000maha-dung-2-ngay-3-camera-48mp-xoa-phong-5g-2-sim-gia-tot-nhat-hoan-hao-hoc-online-lam-viec-i3019519580.html,['Voucher save 42%'],"[4402, 4519]"
30,"[Buy 1 get 6] 2025 pro11 12 inch full HD tablet to learn online, movie watching, 16GB + 512GB WiFi video watching, 12000mAh cod, ram16gb + 512GB 24MP + 48mp games tablet PC support 2sim + 1SD camera",1060000,1995999,Vietnam,Beta Tablet Store,No Brand,4,,https://www.lazada.vn/products/mua-1-tang-6-2025-may-tinh-bang-pro11-12-inch-full-hd-hoc-truc-tuyen-xem-phim-xem-video-16gb-512gb-wifi-12000mah-codram16gb-512gb-may-tinh-bang-tro-choi-24mp-48mp-ho-tro-camera-2sim1sd-i3019455723.html,['Voucher save 47%'],"[4402, 4519]"
31,"[Buy one get six] 2025 p11 12.0 inch tablet ram16gb + rop1024gb 24 + 48MP Android 12.0 system camera 4G/5G processor 10 inch screen core WiFi, cheap Tablet PC suitable for study, working, watching video, painting and listening to music",1055000,2025999,Vietnam,Beta Tablet Store,No Brand,4,,https://www.lazada.vn/products/mua-mot-tang-sau-may-tinh-bang-moi-2025-p11-120-inch-ram16gb-rom1024gb-24-48mp-camera-he-thong-android120-bo-xu-ly-wifi-4g5g-loi-man-hinh-10-inch-may-tinh-bang-gia-re-thich-hop-de-hoc-tap-lam-viec-xem-video-ve-va-nghe-nhac-i3019426736.html,['Voucher save 48%'],"[4402, 4519]"
32,𝐈𝐏𝐀𝐃 𝐏𝐑𝐎 𝐌𝟏 𝟏𝟐.𝟗𝐈𝐍𝐂𝐇 𝟏𝟐𝟖𝐆𝐁 – 𝐆𝐑𝐀𝐘 – 𝐖𝐈𝐅𝐈 – 𝐋𝐈𝐊𝐄𝐍𝐄𝐖 𝟗𝟗%,16998000,16998000,Vietnam,HẠNH TECH 0909083420,Samsung,1,,https://www.lazada.vn/products/-i3019282577.html,[],"[4402, 4519]"
33,𝐈𝐏𝐀𝐃 𝐏𝐑𝐎 𝐌𝟒 𝟏𝟑” (𝟐𝟎𝟐𝟒) – 𝟐𝟓𝟔𝐆𝐁 𝐖𝐈𝐅𝐈 – 𝐍𝐄𝐖 𝐒𝐄𝐀𝐋 𝐋𝐋,26589000,26589000,Vietnam,HẠNH TECH 0909083420,Samsung,2,,https://www.lazada.vn/products/-i3019277165.html,[],"[4402, 4519]"
34,𝐋𝐞𝐧𝐨𝐯𝐨 𝐏𝐚𝐝 𝐏𝐫𝐨 𝟏𝟐.𝟕” (𝟐𝟎𝟐𝟓) – 𝟖𝐆𝐁/𝟏𝟐𝟖𝐆𝐁 𝐌𝐨̛́𝐢 𝐍𝐠𝐮𝐲𝐞̂𝐧 𝐒𝐞𝐚𝐥,6049000,6049000,Vietnam,HẠNH TECH 0909083420,Lenovo,2,,https://www.lazada.vn/products/-i3017569295.html,[],"[4402, 4519]"
35,Máy tính bảng Xiaomi Pad 7 (8+128GB) | Màn hình 11.2'' 3.2K 144Hz tăng hiệu suất | Snapdragon 7+ Gen3 | HyperAI | Pin 8850mAh,24990000,24990000,Vietnam,Mi Online VN,Xiaomi,0,,https://www.lazada.vn/products/may-tinh-bang-xiaomi-pad-7-8128gb-man-hinh-112-32k-144hz-tang-hieu-suat-snapdragon-7-gen3-hyperai-pin-8850mah-i3016984045.html,[],"[4402, 4519]"
36,"Máy tính bảng POCO Pad (8+256GB) | Màn hình 12,1"" 120Hz 2,5K | SD 7sGen2 | Pin 10000mAh + 33W",7690000,8690000,Vietnam,Mi Online VN,Xiaomi,2,,https://www.lazada.vn/products/may-tinh-bang-poco-pad-8256gb-man-hinh-121-120hz-25k-sd-7sgen2-pin-10000mah-33w-i3016932184.html,['Voucher save 12%'],"[4402, 4519]"
