,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
1534,Màn Hình Điện Thoại Di Động Xiaomi 10/11 SM7250/7225/SM7350 CPU Snapdragon 665/720/730G Màn Hình Thép Mạ Đồng Phụ Kiện Kỹ Thuật Số,74000,74000,Hong Kong,TB EL SHOP,No Brand,1,,https://www.lazada.vn/products/man-hinh-dien-thoai-di-dong-xiaomi-1011-sm72507225sm7350-cpu-snapdragon-665720730g-man-hinh-thep-ma-dong-phu-kien-ky-thuat-so-i2830159964.html,[],"[4402, 4518]"
1535,"Điện thoại 4G giá rẻ Samsung Galaxy A70 2sim ram 6G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, - LN3939",1599000,1999000,Vietnam,LeNgan _Store,Samsung,7,5.0,https://www.lazada.vn/products/dien-thoai-4g-gia-re-samsung-galaxy-a70-2sim-ram-6g128g-cau-hinh-cao-chien-moi-game-muot-chup-anh-dep-ln3939-i2830091361.html,['Voucher save 20%'],"[4402, 4518]"
1536,"[ Rẻ Vô Địch ] điện thoại Samsung Galaxy A7 (A750) 2sim ram 4G/64G máy Chính Hãng, Cấu hình Cao cấp, Chiến mọi game nặng siêu mượt, - SSLN",1299000,1799000,Vietnam,LeNgan _Store,Samsung,7,5.0,https://www.lazada.vn/products/re-vo-dich-dien-thoai-samsung-galaxy-a7-a750-2sim-ram-4g64g-may-chinh-hang-cau-hinh-cao-cap-chien-moi-game-nang-sieu-muot-ssln-i2830078394.html,['Voucher save 28%'],"[4402, 4518]"
1537,"Điện thoại 4G giá rẻ Samsung Galaxy A7 (A750) A7 2018 2sim ram 4G/64G máy Chính Hãng, Cấu hình Cao cấp, LN47",1299000,1799000,Vietnam,LeNgan _Store,Samsung,7,5.0,https://www.lazada.vn/products/dien-thoai-4g-gia-re-samsung-galaxy-a7-a750-a7-2018-2sim-ram-4g64g-may-chinh-hang-cau-hinh-cao-cap-ln47-i2830075399.html,['Voucher save 28%'],"[4402, 4518]"
1538,"Điện thoại 4G giá rẻ Samsung Galaxy A50s 2sim ram 4G/64G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp,LN1",1349000,1899000,Vietnam,LeNgan _Store,Samsung,7,5.0,https://www.lazada.vn/products/dien-thoai-4g-gia-re-samsung-galaxy-a50s-2sim-ram-4g64g-cau-hinh-cao-chien-moi-game-muot-chup-anh-depln1-i2830058421.html,['Voucher save 29%'],"[4402, 4518]"
1539,"Điện thoại 4G giá rẻ Samsung Galaxy A31 2sim ram 6G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, LN47",1749000,1999000,Vietnam,LeNgan _Store,Samsung,9,4.833333333333333,https://www.lazada.vn/products/dien-thoai-4g-gia-re-samsung-galaxy-a31-2sim-ram-6g128g-cau-hinh-cao-chien-moi-game-muot-chup-anh-dep-ln47-i2830029621.html,['Voucher save 13%'],"[4402, 4518]"
1540,"Điện thoại 4G giá rẻ Samsung Galaxy A51 2sim ram 6G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp LNS",1899000,2299000,Vietnam,LeNgan _Store,Samsung,9,4.927272727272728,https://www.lazada.vn/products/dien-thoai-4g-gia-re-samsung-galaxy-a51-2sim-ram-6g128g-cau-hinh-cao-chien-moi-game-muot-chup-anh-dep-lns-i2829997762.html,['Voucher save 17%'],"[4402, 4518]"
1541,"điện thoại Samsung Galaxy A31 máy 2sim ram 6G/128G Chính Hãng, lướt Wed Tiktok Facebook Youtube chất_LNMB",1009000,1009000,Vietnam,LeNgan _Store,Samsung,12,4.844827586206897,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a31-may-2sim-ram-6g128g-chinh-hang-luot-wed-tiktok-facebook-youtube-chat_lnmb-i2829986648.html,[],"[4402, 4518]"
1542,"[ SALE KHỦNG - GIÁ SỐC ] điện thoại Samsung Galaxy A51 2sim ram 6G/128G máy Chính Hãng, Màn hình: Super AMOLED6.5""Full HD+, Camera sau: Chính 48 MP & Phụ 12 MP, 5 MP, 5 MP Camera trước: 32 MP  LN1",1999000,2199000,Vietnam,LeNgan _Store,Samsung,14,5.0,https://www.lazada.vn/products/sale-khung-gia-soc-dien-thoai-samsung-galaxy-a51-2sim-ram-6g128g-may-chinh-hang-man-hinh-super-amoled65full-hd-camera-sau-chinh-48-mp-phu-12-mp-5-mp-5-mp-camera-truoc-32-mp-ln1-i2829959779.html,['Voucher save 9%'],"[4402, 4518]"
1543,"Điện thoại giá rẻ Samsung Galaxy A71 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp,LNST",999000,1795000,Vietnam,LeNgan _Store,Samsung,14,5.0,https://www.lazada.vn/products/dien-thoai-gia-re-samsung-galaxy-a71-2sim-ram-8g128g-cau-hinh-cao-chien-moi-game-muot-chup-anh-deplnst-i2829954937.html,['Voucher save 44%'],"[4402, 4518]"
1544,"điện thoại 4G Samsung Galaxy J8 2sim ram 3G/32G Chính Hãng, , Chiến Game mượt, Chụp ảnh siêu đẹpLN39",226000,428000,Vietnam,LeNgan _Store,Samsung,8,4.833333333333333,https://www.lazada.vn/products/dien-thoai-4g-samsung-galaxy-j8-2sim-ram-3g32g-chinh-hang-chien-game-muot-chup-anh-sieu-depln39-i2829575462.html,['Voucher save 47%'],"[4402, 4518]"
1545,"điện thoại Samsung Galaxy A50s Chính Hãng 2sim ram 4G/64G, Cày Tiktok Zalo FB Youtube, chơi Liên Quân-Free Fire-PUBG mượt mà-NL39",999000,1599000,Vietnam,LeNgan _Store,Samsung,3,5.0,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a50s-chinh-hang-2sim-ram-4g64g-cay-tiktok-zalo-fb-youtube-choi-lien-quan-free-fire-pubg-muot-ma-nl39-i2829082747.html,['Voucher save 38%'],"[4402, 4518]"
1546,"[ Rẻ Hủy Diệt ] điện thoại Samsung Galaxy J8 ram 3G rom 32G 2sim, Máy Chính Hãng, Cày Zalo FB Tiktok Youtube -LN39",228000,418000,Vietnam,LeNgan _Store,Samsung,7,4.6923076923076925,https://www.lazada.vn/products/re-huy-diet-dien-thoai-samsung-galaxy-j8-ram-3g-rom-32g-2sim-may-chinh-hang-cay-zalo-fb-tiktok-youtube-ln39-i2829032573.html,['Voucher save 45%'],"[4402, 4518]"
1547,"điện thoại Samsung Galaxy A70 2sim ram 6G/128G máy Chính Hãng, Màn hình: Super AMOLED6.7""Full HD+, Camera sau: Chính 32 MP & Phụ 8 MP, 5 MP Camera trước: 32 MP, máy đủ màu -LN39",999000,1597000,Vietnam,LeNgan _Store,Samsung,8,5.0,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a70-2sim-ram-6g128g-may-chinh-hang-man-hinh-super-amoled67full-hd-camera-sau-chinh-32-mp-phu-8-mp-5-mp-camera-truoc-32-mp-may-du-mau-ln39-i2829002682.html,['Voucher save 37%'],"[4402, 4518]"
1548,Điện thoại SAMSUNG J8 3G/32G 2018 thanh lí giá rẻ giao màu ngẫu nhiên.,839000,839000,Vietnam,Kevinshop01,Samsung,0,5.0,https://www.lazada.vn/products/dien-thoai-samsung-j8-3g32g-2018-thanh-li-gia-re-giao-mau-ngau-nhien-i2828552819.html,[],"[4402, 4518]"
