,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
297,LAPTOP  INTEL CORE I7 RAM 8GB SSD 256G 15.4INCH (2012),6730000,10900000,Vietnam,Laptop Cường Thịnh,AP,0,,https://www.lazada.vn/products/laptop-intel-core-i7-ram-8gb-ssd-256g-154inch-2012-i2652507580.html,['Voucher save 38%'],"[4401, 4414, 6191]"
298,LENOVO GAMING LEGION 5 15ARH05 R5 4600H/ SSD 512GB/ 15INCH VIỀN MỎNG 144Hz/ LAPTOP CHƠI GAME ĐỒ HỌA CAO CẤP/ GIÁ RẺ,14500000,14500000,Vietnam,LAPTOP LIKE NEW 2022,Lenovo,1,,https://www.lazada.vn/products/lenovo-gaming-legion-5-15arh05-r5-4600h-ssd-512gb-15inch-vien-mong-144hz-laptop-choi-game-do-hoa-cao-cap-gia-re-i2652348877.html,[],"[4401, 4414, 6191]"
299,Laptop LG gram 2024 14z90s-g. ah55a5 (Intel Core ultra 5 125H/16GB/ 512GB/ Intel arc/14 inch wrxga/win 11 Home Plus/black)-authentic,42494000,42494000,Vietnam,BẢO HÂN TREASURES COMPUTER,LG,0,,https://www.lazada.vn/products/laptop-lg-gram-2024-14z90s-gah55a5-intel-core-ultra-5-125h16gb-512gb-intel-arc-14-inch-wuxgawin-11-home-plusden-hang-chinh-hang-i2651301057.html,[],"[4401, 4414, 6191]"
300,KVLSO Grote Capaciteit Laptoptas 13.3 14 15.6 Inch Waterdichte Aktetas Computer Notebook Ademend Voor Xiaomi/Huawei/Asus BRSHE,741511,762000,China,qingerganv34,No Brand,2,,https://www.lazada.vn/products/kvlso-grote-capaciteit-laptoptas-133-14-156-inch-khong-tham-nuoc-aktetas-may-tinh-notebook-ademend-cho-xiaomihuaweiasus-brshe-i2650283723.html,['Voucher save 3%'],"[4401, 4414, 6191]"
301,LAPTOP ASUS X530UN CORE I5 8250U RAM 8G SSD 256G 15.6INCH FHD VGA ĐÈN PHÍM,6300000,10500000,Vietnam,Laptop Cường Thịnh,ASUS,0,,https://www.lazada.vn/products/laptop-asus-x530un-core-i5-8250u-ram-8g-ssd-256g-156inch-fhd-vga-den-phim-i2649701807.html,['Voucher save 40%'],"[4401, 4414, 6191]"
302,"Dell Gaming G15 5520 Laptop, i5-12500H, 16GB Ram, 512GB SSD, RTX 3050Ti, 15.6 Full HD, free wireless mouse, mouse pad, high-end laptop bag",20500000,22500000,Vietnam,Laptop.Hadong,Dell,2,,https://www.lazada.vn/products/laptop-dell-gaming-g15-5520-i5-12500h-ram-16gb-ssd-512gb-rtx-3050ti-156-full-hd-tang-chuot-khong-day-tam-lot-chuot-cap-laptop-cao-cap-i2649542157.html,['Voucher save 9%'],"[4401, 4414, 6191]"
303,"Laptop Dell Inspiron 5447, Màn hình cảm ứng (có thể dùng sPen), i3-4030U, Ram 8gb, hdd 500gb, ngoại hình 93-95%",3200000,3200000,Vietnam,AT-COMPUTER ,No Brand,0,,https://www.lazada.vn/products/laptop-dell-inspiron-5447-man-hinh-cam-ung-co-the-dung-spen-i3-4030u-ram-8gb-hdd-500gb-ngoai-hinh-93-95-i2647429595.html,[],"[4401, 4414, 6191]"
304,"Laptop M Air 2015 làm việc, học tập, du lịch, siêu nhẹ, Hđh MacOS 14.5 Sonoma mới nhất, Màn hình 13.3"", Ram 8gb, SSD 128gb, intel core i5, like new 97-98%",7300000,7300000,Vietnam,AT-COMPUTER ,No Brand,0,,https://www.lazada.vn/products/laptop-m-air-2015-lam-viec-hoc-tap-du-lich-sieu-nhe-hdh-macos-145-sonoma-moi-nhat-man-hinh-133-ram-8gb-ssd-128gb-intel-core-i5-like-new-97-98-i2647403467.html,[],"[4401, 4414, 6191]"
305,MacBook Pro 16 inch M1 Max 10C CPU/24 GPU | 32GB/ 2TB SSD Grey (Space Grey),80886000,80886000,Vietnam,Futureworld - Apple Authorised Reseller,Apple,0,,https://www.lazada.vn/products/may-tinh-xach-tay-macbook-pro-16-inch-m1-max-10c-cpu24-gpu-32gb-2tb-ssd-xam-space-grey-i2646963513.html,[],"[4401, 4414, 6191]"
306,[Likenew 99% laptop] Dell gaming G7 7588 Core i7 8570H/32GB RAM/SSD mvme 512GB + 500GB/Nvidia gtx1050 Ti/ 15.6 ''IPs FHD.,12650000,12650000,Vietnam,Laptop OneShop,Dell,9,,https://www.lazada.vn/products/laptop-dell-gaming-g7-7588-core-i7-8570h-ram-32gb-ssd-mvme-512gb-500gb-nvidia-gtx1050-ti-156-ips-fhd-i2645568825.html,[],"[4401, 4414, 6191]"
